AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
121.1875,196.92314,1.9273028,0.0,0.0,0.28550568,0.0,-1.0,-1.0,2.6148129,118.36983,118.36983,118.36983,0.0,0.0,118.36983,118.36983,118.36983,196.92314,0.0,2.122017,111.14855,111.14855,77.75521,-1.0,-1.0,1.2260742,2.673074,1.5659635,1.2575271,-1.0,2.7169106,0.1286718,1.0,1.0,2.6148129,118.36983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,87.75182,27.426647,-1.0515137,0.095045954,0.0,24.790787,0.84091187,18.660711,-1.1975098,1.0,18.6875,18.660711,0.9483032,43.3568,28.542582,47.623882,-1.0515137,-1.0,215.3331,1.8333206,1.8333206,-1.0,-1.0,-1.0,-1.1975098,1.5292785,1.7666612,0.6784422,-1.0,73.29169,155.6376,0.2348587,0.18828812,0.21624154,-0.98616505,0.009312494,0.03200931,-1.8613281,0.16646485,0.0,0.018798828,29.19737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,1,1,2,1,1,0,3,2,1,1,-1,0,1,4413,3678427,
103.1875,168.99239,0.58443755,0.0,0.0,0.9578173,0.0,-1.0,-1.0,1.6049823,78.74658,78.74658,78.74658,0.0,0.0,78.74658,78.74658,78.74658,168.99239,0.0,2.2999578,103.34252,103.34252,28.101828,28.101828,0.3163452,0.3163452,1.8612974,2.3303955,1.6055325,1.2078133,1.2078133,0.068454385,1.0,1.0,1.6049823,78.74658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,49.197556,75.32154,-0.6418457,1.0,75.0,75.32154,0.993927,10.471935,-2.2460938,0.00664548,0.0,8.879224,0.09910202,37.55664,13.854933,75.24259,-0.6418457,65.44298,65.44298,0.58443755,1.7092042,-1.0,-1.0,-1.0,-2.2460938,1.523434,1.4861714,0.86851054,117.29759,117.29759,30.220875,0.2071617,0.02189212,0.010035504,-0.99995303,0.000849284,0.0035848867,-0.75805664,0.16476114,0.0,0.20019531,29.13294,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,2,2,0,0,3,2,2,1,1,0,1,25729,21448311,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.7555989,104.53007,104.53007,104.53007,0.0,0.0,104.53007,104.53007,104.53007,0.0,0.0,1.7825269,33.68643,33.68643,-1.0,-1.0,-1.0,-1.0,2.1353774,2.7570133,0.73721325,-1.0,-1.0,0.11637729,1.0,1.0,0.7555989,104.53007,0.0,117.0,117.0,0.0,0.0,117.0,117.0,117.0,0.0,0.0,303.358,74.11993,44.6604,1.0366211,0.07958284,0.0,34.67757,0.49787903,23.613447,0.8371582,1.0,23.375,23.613447,0.9924927,102.12295,63.454773,66.29514,1.0366211,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8371582,1.7651373,1.7114722,1.8997574,-1.0,-1.0,96.43421,0.6539329,0.7314916,0.7400476,-0.9966922,0.381204,0.35550964,-0.87268066,0.15732932,0.0,-0.009147644,36.23081,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,2,-1,1,1,1,1,0,3,2,1,1,1,0,1,25779,21489337,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.1288137,41.01177,41.01177,41.01177,0.0,0.0,41.01177,41.01177,41.01177,0.0,0.0,2.422043,51.048035,51.048035,-1.0,-1.0,-1.0,-1.0,4.6853952,3.6217213,2.9790325,-1.0,-1.0,0.11696894,1.0,1.0,3.1288137,41.01177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,43.237083,53.03156,1.3918457,0.089268625,0.0,37.48841,-0.86621094,17.776638,1.5004883,1.0,14.09375,14.152421,0.4113617,93.56189,56.735207,198.8361,1.5004883,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.3918457,2.7586417,2.325196,1.5071929,-1.0,-1.0,106.48748,0.13328029,0.2554138,0.31313977,-0.9999433,0.048873827,0.1467109,-2.1157227,0.1653428,0.0,0.3918457,29.794495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,1,0,0,3,2,2,1,-1,0,1,69612,58028430,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9897679,56.714935,56.714935,56.714935,0.0,0.0,56.714935,56.714935,56.714935,0.0,0.0,3.183079,70.608765,70.608765,-1.0,-1.0,-1.0,-1.0,2.1336012,4.274951,2.4477,-1.0,-1.0,0.08611983,1.0,1.0,1.9897679,56.714935,84.0,84.0,84.0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,303.358,34.93504,41.70295,2.145996,1.0,42.25,41.70295,0.98220825,16.372478,1.1481934,0.085915,0.0,12.24436,-0.5910034,23.221907,52.19047,38.729515,2.145996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.1481934,1.4446337,0.87268883,1.2664664,-1.0,-1.0,87.33568,0.7862215,0.4468499,0.572457,-0.70812124,0.10957458,0.26937124,-0.805542,0.17651153,0.0,0.30932617,20.804918,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,2,-1,0,1,1,1,0,4,2,1,1,1,0,1,83729,69796972,
95.25,188.6922,0.5430688,0.0,0.0,0.27427724,0.0,-1.0,-1.0,0.22099368,58.019356,140.6912,74.17246,0.0,0.0,140.6912,74.17246,74.17246,188.6922,0.0,1.9378068,112.69223,112.69223,101.59237,101.59237,0.63848877,0.63848877,1.6327486,2.3136156,1.0439128,2.2510197,2.2510197,0.10534826,1.0,1.0,0.22099368,58.019356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,85.07694,46.606792,-0.5698242,1.0,47.0,46.606792,0.98895264,10.116301,-1.2663574,0.00664548,0.0,8.514164,-0.15293884,72.97883,15.871959,80.68307,-0.5698242,201.95341,201.95341,0.5430688,1.8908255,-1.0,-1.0,-1.0,-1.2663574,0.834214,1.6834934,0.9389621,101.60592,101.60592,63.06718,0.23407565,0.10385253,0.12952393,-0.9992766,0.029838743,0.039108958,-1.1337891,0.15236756,0.0,-0.009933472,62.08782,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,2,2,0,0,4,2,2,1,-1,0,1,13924,11606995,
100.3125,237.38603,2.1397727,0.0,0.0,0.7507299,0.0,-1.0,-1.0,1.7119751,215.73257,215.73257,51.85617,0.0,0.0,215.73257,215.73257,215.73257,181.87187,0.0,2.2278945,113.50194,113.50194,-1.0,-1.0,-1.0,-1.0,1.7738112,2.350047,3.7897427,-1.0,-1.0,0.18070625,1.0,1.0,1.7119751,215.73257,204.5,204.5,0.0,0.0,0.0,204.5,204.5,204.5,204.5,0.0,303.358,127.70048,226.63083,1.9641113,0.06188945,0.0,218.0903,-0.1554184,99.33041,-0.4376831,1.0,104.25,99.33041,0.9961548,224.16147,3.7898424,125.2651,1.9641113,-1.0,-1.0,2.1149812,2.1149812,-1.0,-1.0,-1.0,-0.4376831,2.6622512,0.6424843,2.0356007,-1.0,-1.0,57.97144,0.83722,0.7361516,0.4698761,0.95935196,0.2799253,0.42527935,0.90686035,0.17137319,0.0,0.19519043,24.454918,2,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,-1,1,1,1,2,0,6,2,0,1,-1,0,1,19452,16215076,
95.0,170.15866,0.6270814,0.0,0.0,0.06340758,0.0,-1.0,-1.0,2.412159,67.802025,67.802025,67.802025,0.0,0.0,58.980633,46.679546,46.679546,170.15866,0.0,2.202161,92.44846,92.44846,-1.0,-1.0,-1.0,-1.0,2.5501742,2.2905025,0.40219003,-1.0,-1.0,0.14574859,1.0,1.0,2.412159,67.802025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,36.900555,49.833805,1.2109375,1.0,51.875,49.833805,0.9925842,20.131744,1.5532227,0.109335735,0.0,20.131744,0.9672241,0.17435242,3.3806498,83.47475,1.5532227,-1.0,-1.0,0.6270814,1.6645416,-1.0,-1.0,-1.0,1.2109375,1.1719108,1.1676683,0.66046065,-1.0,-1.0,11.952445,0.82130337,0.43301916,0.32995582,0.5764298,0.073528886,0.148782,1.744873,0.15587409,0.0,0.5620117,35.95888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,1,0,4,2,1,1,-1,0,1,10823,9022059,
129.75,240.08212,3.1162431,0.0,0.0,0.4753055,0.0,-1.0,-1.0,0.60937613,170.76137,217.34535,170.76137,0.0,0.0,217.34535,217.34535,170.76137,222.06422,0.0,1.5994353,106.839584,106.839584,-1.0,-1.0,-1.0,-1.0,1.9498047,1.0225832,2.216831,-1.0,-1.0,0.11926485,1.0,1.0,0.60937613,170.76137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,119.55382,146.99632,0.46862793,1.0,148.5,146.99632,0.9937439,11.436898,-0.4069214,0.023739913,0.0,7.743981,-0.89901733,39.555153,36.20353,22.543783,0.46862793,-1.0,-1.0,1.1676328,1.1676328,-1.0,-1.0,-1.0,-0.4069214,1.3899746,0.67397594,1.6698363,-1.0,-1.0,77.43626,0.9265839,0.7260246,0.42102608,0.39803368,0.12031248,0.22156078,-0.5498047,0.17230038,0.0,0.7260742,23.79371,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,0,1,1,1,0,5,2,1,1,-1,1,1,102179,85176901,
123.5,205.70053,0.5677762,0.0,0.0,0.15184464,0.0,-1.0,-1.0,0.98240083,199.0222,84.370674,98.07441,0.0,0.0,84.370674,84.370674,98.07441,183.2032,0.0,2.5722477,147.10788,147.10788,-1.0,-1.0,-1.0,-1.0,2.8931072,1.7229497,2.1805215,-1.0,-1.0,0.07462684,1.0,1.0,0.98240083,199.0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,100.204185,43.70685,1.0898438,1.0,44.25,43.70685,0.94577026,19.400204,-1.0861816,0.085915,0.0,16.439802,-0.5013428,107.483635,69.439606,100.52309,1.0898438,-1.0,-1.0,0.5677762,1.7578316,-1.0,-1.0,-1.0,-1.0861816,1.9107692,0.40838695,0.73744833,-1.0,-1.0,108.22654,0.33799523,0.31291294,0.19120266,-0.98456043,0.026251394,0.032451216,-1.1240234,0.1727098,0.0,0.90625,23.502104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,1,1,0,5,2,1,1,1,1,1,94511,78784298,
