AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
124.9375,214.87305,1.854538,0.0,0.0,0.18714099,0.0,-1.0,-1.0,1.7886691,72.60199,72.60199,72.60199,0.0,0.0,72.60199,72.60199,0.0,214.87305,0.0,2.7883434,131.29962,117.39979,117.39979,-1.0,-1.0,0.34326172,3.3812757,0.6836489,3.0063343,-1.0,2.7862403,0.064243026,1.0,1.0,1.7886691,72.60199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,60.618965,31.065477,1.7131348,0.083533704,0.0,27.013727,0.27418518,21.345642,-1.1943359,1.0,21.0625,21.345642,0.96691895,114.29006,88.96788,132.92409,1.7131348,-1.0,248.9789,1.854538,2.1491559,-1.0,-1.0,-1.0,-1.1943359,2.3064377,1.3479879,1.5819442,-1.0,48.512337,123.24172,0.7265767,0.11344329,0.1403244,-1.0,0.016169515,0.023817267,-1.657959,0.17711583,0.0,0.27612305,24.029072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,2,1,1,0,4,2,1,1,-1,0,1,39699,35117920,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.1347287,104.82383,78.70993,94.763435,0.0,0.0,78.70993,78.70993,94.763435,0.0,0.0,2.047169,74.63219,74.63219,35.17361,-1.0,-1.0,0.018066406,4.144542,4.05752,2.4035122,-1.0,0.80714804,0.14398023,1.0,1.0,2.1347287,104.82383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,37.47139,42.406242,1.8728027,1.0,42.625,42.406242,0.98809814,37.633648,1.0102539,0.118161514,0.0,36.47808,-0.08174515,27.504522,84.03352,162.28792,1.8728027,-1.0,43.644646,-1.0,-1.0,-1.0,-1.0,-1.0,1.0102539,1.0539659,1.0902724,2.897002,-1.0,102.17008,49.41333,0.5363439,0.20282267,0.10487552,-0.9686731,0.043274812,0.08062841,-2.1625977,0.16853788,0.0,0.25073242,28.0974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,0,2,1,1,0,4,2,1,1,-1,0,1,32881,29085951,
104.6875,147.9808,0.6066641,0.0,0.0,0.55730504,0.0,-1.0,-1.0,0.13196033,103.13118,133.65298,27.341528,0.0,0.0,133.65298,133.65298,133.65298,147.9808,0.0,2.181742,93.376144,93.376144,-1.0,-1.0,-1.0,-1.0,1.7603548,1.0058804,1.2523152,-1.0,-1.0,0.1614577,1.0,1.0,0.13196033,103.13118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,118.496284,29.147293,0.6077881,1.0,28.8125,29.147293,0.9816284,11.842522,1.7932129,0.00664548,0.0,10.567216,-0.64019775,85.93069,39.704338,36.857914,1.7932129,-1.0,-1.0,0.6066641,1.6121371,-1.0,-1.0,-1.0,0.6077881,1.5361775,2.2228305,1.0522233,-1.0,-1.0,134.32451,0.79777426,0.16467221,0.030132664,0.723846,0.022669025,0.029615002,0.729126,0.15651022,0.0,0.08343506,44.182373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,0,1,1,0,0,4,2,2,1,1,0,1,34324,30363121,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.9899609,97.76479,97.76479,97.76479,0.0,0.0,97.76479,97.76479,0.0,0.0,0.0,3.630434,95.827065,95.827065,-1.0,-1.0,-1.0,-1.0,1.9818867,2.4595807,2.598409,-1.0,-1.0,0.105629876,1.0,1.0,1.9899609,97.76479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,90.51742,39.78906,-0.5437012,1.0,40.0,39.78906,0.93048096,34.792942,-0.7237549,0.07958284,0.0,28.259548,-0.15503693,86.13204,90.693565,69.481125,-0.5437012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7237549,2.2661836,1.2629471,3.2774045,-1.0,-1.0,94.75374,0.03373659,0.008043788,0.0012967649,-1.0,7.8261786e-05,0.000600861,1.1606445,0.16885,0.0,0.0135269165,26.260149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,1,0,0,3,2,2,1,1,0,1,34746,30735508,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.913708,132.96873,132.96873,132.96873,0.0,0.0,132.96873,132.96873,132.96873,0.0,0.0,1.1349275,94.98684,94.98684,-1.0,-1.0,-1.0,-1.0,2.8175597,0.98044634,3.591438,-1.0,-1.0,0.16708867,1.0,1.0,1.913708,132.96873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,69.76822,67.63368,-0.6516113,1.0,66.75,67.63368,0.98846436,20.522783,1.5524902,0.0945952,0.0,11.216647,-0.92562866,44.581985,22.006783,35.420753,1.5524902,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6516113,3.262607,0.06692304,2.3214571,-1.0,-1.0,15.793127,0.20956396,0.1690706,0.1961256,-0.9103095,0.04802138,0.05358681,0.27337646,0.17714694,0.0,-0.15734863,20.355963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,0,1,1,1,0,3,2,1,1,-1,0,1,39859,35259136,
136.5,314.65305,2.678662,0.23489127,0.0,0.38799328,0.0,116.25,296.4465,0.56202173,293.13626,314.07367,293.13626,296.4465,0.0,314.07367,314.07367,293.13626,312.1652,0.0,1.3412426,34.607697,34.607697,-1.0,-1.0,-1.0,-1.0,2.117175,1.4885148,0.77647483,-1.0,-1.0,0.070134446,1.0,1.0,0.56202173,293.13626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,111.28133,178.35281,0.5654297,1.0,175.5,178.35281,0.997406,89.46883,-0.18658447,0.092534736,0.0,68.79438,-0.60098267,132.30504,67.64857,157.36531,0.5654297,-1.0,-1.0,2.5667405,2.5667405,2.5838048,2.5838048,2.6578374,-0.18658447,2.1830397,2.4136083,2.5411053,-1.0,-1.0,102.49009,0.87388647,0.76862925,0.7586783,0.13733584,0.5003739,0.6217165,-0.96691895,0.16349444,0.0,0.4008789,30.0113,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,1,1,4,2,1,1,-1,0,1,33941,30023527,
65.3125,142.4276,0.09225964,0.0,0.0,0.021708205,0.0,-1.0,-1.0,1.3694676,69.122894,69.122894,69.122894,0.0,0.0,69.122894,69.122894,69.122894,142.4276,0.0,2.4909325,54.451645,54.451645,-1.0,-1.0,-1.0,-1.0,2.263458,2.989132,1.9625125,-1.0,-1.0,0.00037581197,1.0,1.0,1.3694676,69.122894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,64.6187,45.1064,1.2800293,1.0,45.0,45.1064,0.9960327,41.77479,-0.014745712,0.118161514,0.0,33.66428,-0.55526733,81.1245,24.920805,60.694828,1.2800293,-1.0,-1.0,0.09225964,2.1865828,-1.0,-1.0,-1.0,-0.014745712,0.7596445,1.5700257,0.5490715,-1.0,-1.0,48.412914,0.82916015,0.6081547,0.62187356,0.09049297,0.22199191,0.4466278,-0.26507568,0.1595916,0.0,0.359375,32.973476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,0,1,1,1,0,3,2,1,1,1,0,1,43563,38535616,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.9173703,124.22023,124.22023,124.22023,0.0,0.0,124.22023,124.22023,124.22023,0.0,0.0,1.5857115,80.10277,80.10277,-1.0,-1.0,-1.0,-1.0,3.4029207,2.2789776,2.0685875,-1.0,-1.0,0.11471806,1.0,1.0,0.9173703,124.22023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,105.16563,73.13587,1.2021484,1.0,74.25,73.13587,0.9901123,26.502106,0.6812744,0.095045954,0.0,20.396322,0.36976624,43.978573,74.52046,127.78914,1.2021484,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6812744,2.947423,0.949418,1.2808877,-1.0,-1.0,73.05061,0.59859574,0.08216225,0.13039035,-0.95577884,0.0062850877,0.007513525,-0.9202881,0.1751098,0.0,0.028182983,21.797176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,1,0,0,3,2,2,1,1,0,1,35703,31582466,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.30879903,112.85912,112.85912,112.85912,0.0,0.0,112.85912,112.85912,0.0,0.0,0.0,3.2326949,67.49716,67.49716,-1.0,-1.0,-1.0,-1.0,1.542214,2.7715263,1.250279,-1.0,-1.0,0.14128901,1.0,1.0,0.30879903,112.85912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,37.59148,51.019886,-0.06477356,1.0,52.25,51.019886,0.993103,20.952118,1.1601562,0.095045954,0.0,18.513474,-0.028826714,41.53251,25.089432,54.078594,1.1601562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.06477356,1.9906229,2.0674098,1.8220613,-1.0,-1.0,8.513905,0.026855836,0.0024959038,0.0013727746,-1.0,0.0002654347,0.0011518389,-1.4545898,0.17586786,0.0,0.58251953,21.260246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,1,1,0,3,2,1,1,1,0,1,35032,30989077,
145.375,337.61548,0.7447272,0.0,0.0,0.4466983,0.0,-1.0,-1.0,1.667838,275.7713,165.15112,355.5012,0.0,0.0,355.5012,355.5012,355.5012,155.01933,0.0,1.8716716,235.04263,235.04263,121.11738,121.11738,1.2868042,1.2868042,1.1633619,1.7687904,0.80255866,2.4889488,2.4889488,0.12136789,1.0,1.0,1.667838,275.7713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,178.61093,100.60382,1.5917969,0.08390954,0.0,77.00527,-0.80859375,28.855362,1.2419434,1.0,27.625,28.855362,0.9823303,88.535065,84.557526,51.304337,1.5917969,378.34485,378.34485,0.7447272,1.8803818,-1.0,-1.0,-1.0,1.2419434,1.1590729,0.8950765,0.9744203,199.21278,199.21278,104.99407,0.35479498,0.21615146,0.13709614,-0.8963427,0.030076737,0.038117133,1.065918,0.16799733,0.0,0.6894531,26.872139,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,2,2,0,0,5,2,2,1,1,1,1,49967,44200911,
